EDP_ID,E_ID,DP_ID
1,1,213
2,2,77
3,3,226
4,4,236
5,5,20
6,6,147
7,7,76
8,8,73
9,9,267
10,10,209
11,11,89
12,12,203
13,13,102
14,14,233
15,15,56
16,16,234
17,17,4
18,18,64
19,19,14
20,20,231
21,21,272
22,22,123
23,23,41
24,24,197
25,25,130
26,26,103
27,27,135
28,28,46
29,29,242
30,30,87
31,31,142
32,32,129
33,33,12
34,34,287
35,35,221
36,36,72
37,37,87
38,38,118
39,39,48
40,40,173
41,41,248
42,42,98
43,43,214
44,44,170
45,45,23
46,46,65
47,47,252
48,48,49
49,49,154
50,50,24
51,51,141
52,52,92
53,53,208
54,54,240
55,55,178
56,56,83
57,57,276
58,58,78
59,59,202
60,60,159
61,61,80
62,62,221
63,63,161
64,64,279
65,65,284
66,66,55
67,67,174
68,68,24
69,69,249
70,70,63
71,71,111
72,72,271
73,73,286
74,74,168
75,75,73
76,76,267
77,77,146
78,78,253
79,79,191
80,80,176
81,81,209
82,82,39
83,83,36
84,84,30
85,85,143
86,86,8
87,87,190
88,88,212
89,89,299
90,90,67
91,91,98
92,92,109
93,93,13
94,94,248
95,95,14
96,96,196
97,97,51
98,98,58
99,99,57
100,100,147
101,101,114
102,102,50
103,103,273
104,104,239
105,105,194
106,106,285
107,107,212
108,108,208
109,109,99
110,110,108
111,111,82
112,112,126
113,113,51
114,114,271
115,115,271
116,116,279
117,117,67
118,118,153
119,119,197
120,120,57
121,121,275
122,122,283
123,123,101
124,124,136
125,125,69
126,126,105
127,127,9
128,128,58
129,129,234
130,130,231
131,131,32
132,132,5
133,133,282
134,134,21
135,135,1
136,136,61
137,137,197
138,138,280
139,139,15
140,140,240
141,141,123
142,142,8
143,143,289
144,144,20
145,145,184
146,146,44
147,147,34
148,148,192
149,149,232
150,150,134
151,151,94
152,152,91
153,153,40
154,154,20
155,155,130
156,156,293
157,157,179
158,158,38
159,159,66
160,160,183
161,161,162
162,162,41
163,163,294
164,164,74
165,165,52
166,166,143
167,167,114
168,168,224
169,169,114
170,170,71
171,171,164
172,172,53
173,173,66
174,174,285
175,175,176
176,176,13
177,177,261
178,178,175
179,179,92
180,180,3
181,181,5
182,182,201
183,183,56
184,184,248
185,185,288
186,186,183
187,187,95
188,188,297
189,189,121
190,190,149
191,191,98
192,192,154
193,193,77
194,194,73
195,195,56
196,196,217
197,197,207
198,198,220
199,199,281
200,200,229
201,201,140
202,202,107
203,203,152
204,204,129
205,205,4
206,206,178
207,207,269
208,208,177
209,209,197
210,210,114
211,211,205
212,212,7
213,213,160
214,214,37
215,215,36
216,216,298
217,217,238
218,218,141
219,219,233
220,220,203
221,221,263
222,222,96
223,223,285
224,224,237
225,225,165
226,226,40
227,227,75
228,228,95
229,229,104
230,230,92
231,231,175
232,232,225
233,233,55
234,234,266
235,235,174
236,236,296
237,237,80
238,238,29
239,239,125
240,240,115
241,241,260
242,242,90
243,243,69
244,244,104
245,245,91
246,246,238
247,247,242
248,248,265
249,249,148
250,250,50
251,251,1
252,252,25
253,253,56
254,254,197
255,255,222
256,256,50
257,257,34
258,258,85
259,259,35
260,260,260
261,261,259
262,262,255
263,263,80
264,264,262
265,265,289
266,266,108
267,267,61
268,268,125
269,269,256
270,270,179
271,271,4
272,272,55
273,273,132
274,274,89
275,275,188
276,276,186
277,277,37
278,278,161
279,279,6
280,280,169
281,281,125
282,282,130
283,283,74
284,284,110
285,285,289
286,286,168
287,287,277
288,288,67
289,289,83
290,290,73
291,291,118
292,292,248
293,293,2
294,294,257
295,295,157
296,296,291
297,297,194
298,298,235
299,299,248
300,300,35
301,301,199
302,302,261
303,303,271
304,304,113
305,305,258
306,306,41
307,307,21
308,308,268
309,309,199
310,310,60
311,311,200
312,312,222
313,313,146
314,314,52
315,315,244
316,316,225
317,317,261
318,318,116
319,319,40
320,320,201
321,321,236
322,322,139
323,323,278
324,324,265
325,325,135
326,326,158
327,327,263
328,328,119
329,329,204
330,330,84
331,331,82
332,332,67
333,333,300
334,334,155
335,335,78
336,336,198
337,337,10
338,338,120
339,339,240
340,340,165
341,341,105
342,342,197
343,343,199
344,344,204
345,345,59
346,346,160
347,347,214
348,348,26
349,349,126
350,350,251
351,351,256
352,352,287
353,353,252
354,354,32
355,355,53
356,356,100
357,357,68
358,358,295
359,359,264
360,360,197
361,361,120
362,362,61
363,363,104
364,364,94
365,365,222
366,366,62
367,367,73
368,368,20
369,369,269
370,370,204
371,371,38
372,372,299
373,373,171
374,374,4
375,375,233
376,376,275
377,377,242
378,378,129
379,379,19
380,380,183
381,381,254
382,382,85
383,383,222
384,384,36
385,385,270
386,386,75
387,387,132
388,388,190
389,389,198
390,390,140
391,391,98
392,392,38
393,393,124
394,394,245
395,395,149
396,396,90
397,397,213
398,398,291
399,399,184
400,400,209
401,401,76
402,402,184
403,403,133
404,404,166
405,405,4
406,406,272
407,407,19
408,408,117
409,409,132
410,410,246
411,411,29
412,412,292
413,413,148
414,414,141
415,415,129
416,416,120
417,417,60
418,418,228
419,419,255
420,420,69
421,421,76
422,422,220
423,423,217
424,424,141
425,425,135
426,426,189
427,427,118
428,428,296
429,429,41
430,430,84
431,431,2
432,432,140
433,433,171
434,434,164
435,435,38
436,436,254
437,437,59
438,438,89
439,439,257
440,440,226
441,441,198
442,442,52
443,443,99
444,444,293
445,445,110
446,446,285
447,447,124
448,448,226
449,449,157
450,450,287
451,451,19
452,452,165
453,453,90
454,454,47
455,455,83
456,456,148
457,457,35
458,458,224
459,459,14
460,460,62
461,461,192
462,462,27
463,463,274
464,464,116
465,465,183
466,466,82
467,467,205
468,468,172
469,469,119
470,470,78
471,471,136
472,472,199
473,473,225
474,474,29
475,475,221
476,476,81
477,477,289
478,478,31
479,479,31
480,480,296
481,481,97
482,482,155
483,483,134
484,484,254
485,485,77
486,486,30
487,487,37
488,488,29
489,489,131
490,490,131
491,491,235
492,492,63
493,493,232
494,494,257
495,495,11
496,496,56
497,497,185
498,498,142
499,499,35
500,500,6
501,501,284
502,502,281
503,503,70
504,504,220
505,505,152
506,506,133
507,507,267
508,508,258
509,509,2
510,510,140
511,511,78
512,512,118
513,513,187
514,514,64
515,515,140
516,516,164
517,517,281
518,518,137
519,519,166
520,520,185
521,521,142
522,522,106
523,523,296
524,524,62
525,525,71
526,526,185
527,527,157
528,528,80
529,529,217
530,530,89
531,531,214
532,532,205
533,533,205
534,534,93
535,535,94
536,536,218
537,537,90
538,538,49
539,539,138
540,540,128
541,541,81
542,542,250
543,543,147
544,544,167
545,545,207
546,546,234
547,547,6
548,548,61
549,549,138
550,550,37
551,551,224
552,552,232
553,553,299
554,554,110
555,555,144
556,556,157
557,557,223
558,558,89
559,559,22
560,560,138
561,561,252
562,562,265
563,563,187
564,564,152
565,565,125
566,566,68
567,567,206
568,568,137
569,569,184
570,570,8
571,571,283
572,572,275
573,573,230
574,574,291
575,575,74
576,576,197
577,577,124
578,578,26
579,579,76
580,580,183
581,581,148
582,582,169
583,583,125
584,584,197
585,585,114
586,586,129
